,season,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,day,daylight_hours
0,1,0,0,6,0,1,0.24,0.81,0.0,3,13,16,1,9.489166666666666
1,1,1,0,6,0,1,0.22,0.8,0.0,8,32,40,1,9.489166666666666
37,1,14,0,0,0,3,0.36,0.76,0.194,4,55,59,2,9.500555555555556
44,1,21,0,0,0,1,0.26,0.44,0.3284,11,20,31,2,9.500555555555556
54,1,9,0,1,1,1,0.16,0.43,0.3881,7,81,88,3,9.513333333333334
67,1,22,0,1,1,1,0.14,0.69,0.1343,0,20,20,3,9.513333333333334
78,1,10,0,2,1,2,0.16,0.69,0.3284,5,37,42,4,9.526666666666667
80,1,12,0,2,1,1,0.22,0.51,0.1642,12,66,78,4,9.526666666666667
85,1,17,0,2,1,1,0.28,0.48,0.2239,10,202,212,4,9.526666666666667
91,1,23,0,2,1,1,0.2,0.69,0.0896,2,9,11,4,9.526666666666667
135,1,21,0,4,1,2,0.22,0.55,0.2239,0,48,48,6,9.556666666666667
138,1,0,0,5,1,2,0.2,0.64,0.194,4,13,17,7,9.573055555555555
153,1,16,0,5,1,2,0.2,0.37,0.1642,5,82,87,7,9.573055555555555
169,1,8,0,6,0,3,0.16,0.93,0.1045,0,15,15,8,9.590277777777779
243,1,12,0,2,1,2,0.2,0.51,0.1045,2,55,57,11,9.6475
249,1,18,0,2,1,3,0.16,0.93,0.1045,1,94,95,11,9.6475
305,1,5,0,5,1,1,0.1,0.54,0.0896,0,8,8,14,9.7125
354,1,6,0,0,0,2,0.26,0.56,0.1642,0,1,1,16,9.759722222222223
364,1,16,0,0,0,1,0.24,0.38,0.2239,22,77,99,16,9.759722222222223
436,1,5,0,4,1,1,0.24,0.6,0.2239,0,6,6,20,9.863333333333333
449,1,18,0,4,1,2,0.26,0.56,0.194,1,184,185,20,9.863333333333333
466,1,11,0,5,1,1,0.22,0.41,0.4627,6,53,59,21,9.891111111111112
533,1,9,0,1,1,1,0.06,0.41,0.0,4,98,102,24,9.978055555555555
578,1,9,0,3,1,3,0.22,0.87,0.2985,3,55,58,26,10.039166666666667
596,1,1,0,5,1,2,0.2,0.75,0.1343,1,2,3,28,10.1025
719,1,8,0,3,1,3,0.22,0.93,0.2239,1,154,155,2,10.269722222222223
747,1,13,0,4,1,1,0.2,0.4,0.4179,4,47,51,3,10.304444444444444
752,1,18,0,4,1,1,0.2,0.4,0.1642,2,145,147,3,10.304444444444444
757,1,23,0,4,1,1,0.2,0.47,0.1045,4,34,38,3,10.304444444444444
764,1,7,0,5,1,1,0.14,0.59,0.0,0,87,87,4,10.339722222222223
773,1,16,0,5,1,2,0.3,0.42,0.2239,8,91,99,4,10.339722222222223
822,1,17,0,0,0,1,0.34,0.46,0.0,24,97,121,6,10.411666666666667
824,1,19,0,0,0,1,0.28,0.61,0.1343,1,20,21,6,10.411666666666667
825,1,20,0,0,0,1,0.28,0.61,0.1045,5,21,26,6,10.411666666666667
828,1,23,0,0,0,1,0.24,0.65,0.0,4,26,30,6,10.411666666666667
835,1,6,0,1,1,1,0.18,0.93,0.0,1,29,30,7,10.448055555555555
849,1,20,0,1,1,2,0.32,0.7,0.1045,6,82,88,7,10.448055555555555
863,1,10,0,2,1,1,0.22,0.47,0.5522,4,44,48,8,10.485
870,1,17,0,2,1,1,0.22,0.32,0.5821,4,172,176,8,10.485
878,1,1,0,3,1,1,0.1,0.36,0.2239,0,7,7,9,10.522222222222222
879,1,2,0,3,1,1,0.08,0.38,0.2836,1,2,3,9,10.522222222222222
907,1,8,0,4,1,1,0.1,0.49,0.3284,5,173,178,10,10.559722222222222
924,1,1,0,5,1,1,0.1,0.54,0.0896,1,6,7,11,10.5975
948,1,3,0,6,0,1,0.12,0.8,0.0,3,7,10,12,10.635833333333334
968,1,23,0,6,0,1,0.22,0.51,0.1343,1,31,32,12,10.635833333333334
981,1,13,0,0,0,1,0.38,0.29,0.3582,62,92,154,13,10.674166666666666
995,1,3,0,1,1,1,0.34,0.46,0.2239,1,1,2,14,10.712777777777777
1025,1,10,0,2,1,1,0.24,0.27,0.2836,5,47,52,15,10.751944444444444
1027,1,12,0,2,1,1,0.28,0.24,0.2537,6,65,71,15,10.751944444444444
1056,1,18,0,3,1,1,0.4,0.4,0.2239,20,202,222,16,10.79111111111111
1081,1,19,0,4,1,1,0.48,0.55,0.3284,14,161,175,17,10.830555555555556
1117,1,7,0,6,0,1,0.38,0.17,0.5224,6,16,22,19,10.910277777777777
1124,1,14,0,6,0,1,0.46,0.15,0.6567,102,94,196,19,10.910277777777777
1168,1,11,1,1,0,2,0.32,0.57,0.1045,20,70,90,21,10.990833333333333
1221,1,23,0,3,1,1,0.22,0.55,0.0896,1,38,39,23,11.071944444444444
1230,1,9,0,4,1,2,0.24,0.75,0.2985,4,133,137,24,11.112777777777778
1240,1,19,0,4,1,3,0.34,0.93,0.2985,3,112,115,24,11.112777777777778
1253,1,9,0,5,1,3,0.34,0.93,0.3582,3,111,114,25,11.153888888888888
1297,1,6,0,0,0,1,0.24,0.87,0.0,2,1,3,27,11.23638888888889
1314,1,23,0,0,0,2,0.36,0.62,0.1642,6,53,59,27,11.23638888888889
1341,1,4,0,2,1,1,0.22,0.69,0.2537,0,1,1,1,11.319166666666666
1379,1,18,0,3,1,1,0.46,0.23,0.4925,8,193,201,2,11.360833333333334
1410,1,1,0,5,1,2,0.18,0.64,0.194,0,4,4,4,11.444444444444445
1432,1,23,0,5,1,2,0.3,0.75,0.1642,6,40,46,4,11.444444444444445
1444,1,11,0,6,0,2,0.4,0.76,0.2239,43,116,159,5,11.48638888888889
1464,1,8,0,0,0,2,0.4,1.0,0.2985,1,8,9,6,11.528611111111111
1488,1,9,0,1,1,1,0.22,0.64,0.4627,5,129,134,7,11.570555555555556
1521,1,18,0,2,1,1,0.34,0.27,0.194,21,214,235,8,11.612777777777778
1524,1,21,0,2,1,1,0.3,0.49,0.194,7,68,75,8,11.612777777777778
1570,1,21,0,4,1,3,0.36,0.56,0.2239,1,27,28,10,11.697222222222223
1575,1,2,0,5,1,3,0.34,1.0,0.1045,2,3,5,11,11.739722222222222
1576,1,3,0,5,1,2,0.32,0.93,0.0896,0,2,2,11,11.739722222222222
1580,1,8,0,5,1,1,0.28,0.7,0.2537,15,244,259,11,11.739722222222222
1597,1,1,0,6,0,1,0.24,0.65,0.194,3,15,18,12,11.781944444444445
1607,1,11,0,6,0,1,0.34,0.49,0.3284,36,83,119,12,11.781944444444445
1613,1,17,0,6,0,1,0.46,0.44,0.3284,99,114,213,12,11.781944444444445
1641,1,22,0,0,0,1,0.3,0.56,0.3284,8,29,37,13,11.824444444444444
1658,1,16,0,1,1,1,0.4,0.35,0.1045,27,80,107,14,11.866944444444444
1684,1,19,0,2,1,2,0.34,0.71,0.2836,14,138,152,15,11.909444444444444
1685,1,20,0,2,1,2,0.34,0.71,0.2836,9,79,88,15,11.909444444444444
1765,1,6,0,6,0,1,0.44,0.44,0.4179,0,10,10,19,12.079444444444444
1788,1,5,0,0,0,1,0.26,0.6,0.194,3,6,9,20,12.121944444444445
1794,1,11,0,0,0,1,0.34,0.39,0.1045,92,111,203,20,12.121944444444445
1818,2,12,0,1,1,2,0.44,0.77,0.2537,25,56,81,21,12.164444444444445
1824,2,18,0,1,1,2,0.52,0.72,0.2239,44,232,276,21,12.164444444444445
1826,2,20,0,1,1,1,0.56,0.64,0.194,16,106,122,21,12.164444444444445
1939,2,14,0,6,0,1,0.34,0.29,0.2239,93,123,216,26,12.376666666666667
1942,2,17,0,6,0,1,0.32,0.24,0.2239,102,101,203,26,12.376666666666667
1959,2,11,0,0,0,2,0.24,0.48,0.1642,23,85,108,27,12.418888888888889
1986,2,15,0,1,1,1,0.32,0.24,0.2836,19,53,72,28,12.46111111111111
2030,2,11,0,3,1,2,0.34,0.46,0.2537,26,64,90,30,12.545555555555556
2038,2,19,0,3,1,2,0.26,0.93,0.2239,5,67,72,30,12.545555555555556
2106,2,15,0,6,0,3,0.34,0.76,0.3881,72,64,136,2,12.671666666666667
2120,2,5,0,0,0,1,0.28,0.65,0.2239,1,4,5,3,14.016666666666667
2134,2,19,0,0,0,2,0.42,0.44,0.194,51,93,144,3,14.016666666666667
2136,2,21,0,0,0,2,0.42,0.44,0.2239,8,37,45,3,14.016666666666667
2171,2,8,0,2,1,3,0.38,0.87,0.5821,9,148,157,5,12.796944444444444
2177,2,14,0,2,1,2,0.36,0.57,0.4925,9,67,76,5,12.796944444444444
2180,2,17,0,2,1,1,0.42,0.38,0.4179,27,246,273,5,12.796944444444444
2210,2,23,0,3,1,1,0.46,0.41,0.2985,11,29,40,6,12.838611111111112
2226,2,15,0,4,1,1,0.6,0.38,0.1045,27,133,160,7,12.88
2284,2,1,0,0,0,2,0.38,0.87,0.1343,6,31,37,10,13.00388888888889
2311,2,5,0,1,1,1,0.46,0.94,0.194,1,12,13,11,13.044722222222223
2373,2,19,0,3,1,1,0.44,0.62,0.2537,15,160,175,13,13.126388888888888
2391,2,13,0,4,1,1,0.56,0.37,0.2239,38,121,159,14,13.166666666666666
2397,2,19,0,4,1,1,0.54,0.32,0.0,37,222,259,14,13.166666666666666
2403,2,1,1,5,0,1,0.44,0.62,0.0,6,9,15,15,13.207222222222223
2420,2,18,1,5,0,2,0.46,0.67,0.3881,47,216,263,15,13.207222222222223
2452,2,2,0,0,0,1,0.4,0.62,0.194,4,25,29,17,13.287222222222223
2470,2,20,0,0,0,1,0.52,0.36,0.194,44,97,141,17,13.287222222222223
2471,2,21,0,0,0,1,0.5,0.42,0.194,13,70,83,17,13.287222222222223
2476,2,2,0,1,1,1,0.42,0.67,0.1045,14,2,16,18,13.327222222222222
2500,2,2,0,2,1,1,0.46,0.67,0.2836,8,5,13,19,13.366666666666667
2512,2,14,0,2,1,2,0.54,0.64,0.194,19,88,107,19,13.366666666666667
2535,2,13,0,3,1,1,0.7,0.48,0.3881,42,135,177,20,13.40611111111111
2537,2,15,0,3,1,2,0.76,0.35,0.3582,32,113,145,20,13.40611111111111
2538,2,16,0,3,1,2,0.76,0.35,0.3582,54,201,255,20,13.40611111111111
2586,2,16,0,5,1,3,0.34,0.87,0.1343,4,58,62,22,13.484166666666667
2591,2,21,0,5,1,3,0.3,0.93,0.1642,5,23,28,22,13.484166666666667
2596,2,2,0,6,0,3,0.32,1.0,0.1343,3,14,17,23,13.522777777777778
2612,2,18,0,6,0,1,0.58,0.78,0.194,149,227,376,23,13.522777777777778
2614,2,20,0,6,0,2,0.54,0.88,0.2537,45,138,183,23,13.522777777777778
2625,2,7,0,0,0,2,0.5,1.0,0.0,16,11,27,24,13.561388888888889
2641,2,23,0,0,0,3,0.54,1.0,0.0896,5,37,42,24,13.561388888888889
2642,2,0,0,1,1,3,0.52,1.0,0.0,2,10,12,25,13.599444444444444
2647,2,5,0,1,1,2,0.46,1.0,0.0,3,14,17,25,13.599444444444444
2660,2,18,0,1,1,1,0.68,0.57,0.3582,74,425,499,25,13.599444444444444
2672,2,6,0,2,1,1,0.56,0.88,0.2239,0,80,80,26,13.637222222222222
2677,2,11,0,2,1,1,0.68,0.65,0.3881,40,132,172,26,13.637222222222222
2699,2,9,0,3,1,2,0.6,0.88,0.4179,20,161,181,27,13.675
2722,2,8,0,4,1,2,0.66,0.78,0.4478,31,367,398,28,13.712222222222222
2810,2,0,0,1,1,1,0.46,0.72,0.1343,68,109,177,2,13.842222222222222
2821,2,11,0,1,1,1,0.58,0.73,0.2985,34,96,130,2,13.842222222222222
2871,2,13,0,3,1,2,0.46,0.59,0.4478,15,128,143,4,13.913055555555555
2873,2,15,0,3,1,1,0.48,0.51,0.4179,22,107,129,4,13.913055555555555
2910,2,4,0,5,1,1,0.36,0.71,0.1045,0,1,1,6,13.9825
2939,2,9,0,6,0,1,0.54,0.49,0.2836,54,164,218,7,14.016666666666667
2953,2,23,0,6,0,1,0.5,0.59,0.1045,30,89,119,7,14.016666666666667
2958,2,4,0,0,0,1,0.42,0.82,0.0,2,8,10,8,14.050277777777778
2982,2,4,0,1,1,1,0.42,0.82,0.1642,0,4,4,9,14.08361111111111
3019,2,17,0,2,1,1,0.64,0.33,0.0,79,532,611,10,14.116388888888888
3048,2,22,0,3,1,1,0.5,0.72,0.2537,12,134,146,11,14.14861111111111
3063,2,13,0,4,1,2,0.62,0.57,0.2985,48,170,218,12,14.180555555555555
3089,2,15,0,5,1,2,0.52,0.88,0.1642,56,142,198,13,14.211944444444445
3091,2,17,0,5,1,3,0.52,0.88,0.1642,62,429,491,13,14.211944444444445
3122,2,0,0,0,0,2,0.52,1.0,0.0,5,34,39,15,14.273055555555555
3133,2,11,0,0,0,1,0.6,0.78,0.2239,120,202,322,15,14.273055555555555
3136,2,14,0,0,0,1,0.64,0.73,0.194,183,254,437,15,14.273055555555555
3156,2,10,0,1,1,1,0.62,0.65,0.0896,37,75,112,16,14.302777777777777
3158,2,12,0,1,1,1,0.66,0.54,0.0896,72,137,209,16,14.302777777777777
3162,2,16,0,1,1,3,0.6,0.78,0.2537,45,181,226,16,14.302777777777777
3166,2,20,0,1,1,1,0.58,0.83,0.0,31,167,198,16,14.302777777777777
3187,2,17,0,2,1,1,0.62,0.65,0.4179,83,521,604,17,14.331944444444444
3201,2,7,0,3,1,1,0.54,0.88,0.194,14,260,274,18,14.360555555555555
3205,2,11,0,3,1,2,0.54,0.94,0.0896,6,17,23,18,14.360555555555555
3210,2,16,0,3,1,1,0.6,0.73,0.194,53,241,294,18,14.360555555555555
3217,2,23,0,3,1,1,0.52,0.94,0.0896,10,49,59,18,14.360555555555555
3231,2,13,0,4,1,3,0.58,0.64,0.2537,44,139,183,19,14.38861111111111
3235,2,17,0,4,1,1,0.56,0.78,0.1642,60,487,547,19,14.38861111111111
3251,2,9,0,5,1,1,0.54,0.68,0.2239,35,199,234,20,14.415833333333333
3266,2,0,0,6,0,1,0.52,0.77,0.1045,20,78,98,21,14.442777777777778
3299,2,9,0,0,0,1,0.62,0.69,0.1045,59,130,189,22,14.46888888888889
3332,2,18,0,1,1,1,0.7,0.74,0.2836,68,385,453,23,14.494444444444444
3346,2,8,0,2,1,3,0.62,0.83,0.2239,31,403,434,24,14.519166666666667
3363,2,1,0,3,1,3,0.58,0.83,0.194,6,2,8,25,14.543333333333333
3394,2,8,0,4,1,2,0.66,0.83,0.1642,31,458,489,26,14.566944444444445
3404,2,18,0,4,1,1,0.8,0.46,0.3284,74,404,478,26,14.566944444444445
3432,2,22,0,5,1,1,0.6,0.78,0.1343,25,116,141,27,14.589444444444444
3434,2,0,0,6,0,1,0.58,0.88,0.1343,15,79,94,28,14.611666666666666
3501,2,19,1,1,0,2,0.52,0.48,0.1045,68,157,225,30,14.653333333333334
3505,2,23,1,1,0,1,0.7,0.84,0.1045,14,34,48,30,14.653333333333334
3515,2,9,0,2,1,1,0.8,0.55,0.1343,22,153,175,31,14.673055555555555
3532,2,2,0,3,1,1,0.7,0.79,0.1642,0,3,3,1,14.691944444444445
3571,2,17,0,4,1,1,0.76,0.2,0.5224,88,484,572,2,14.71
3615,2,13,0,6,0,1,0.74,0.28,0.1343,188,268,456,4,14.74388888888889
3620,2,18,0,6,0,2,0.74,0.3,0.1642,127,214,341,4,14.74388888888889
3628,2,2,0,0,0,2,0.64,0.61,0.1642,16,48,64,5,14.759444444444444
3635,2,9,0,0,0,2,0.6,0.78,0.194,53,111,164,5,14.759444444444444
3694,2,20,0,2,1,1,0.74,0.56,0.1343,45,301,346,7,14.788055555555555
3699,2,1,0,3,1,1,0.66,0.78,0.0,3,20,23,8,14.801111111111112
3709,2,11,0,3,1,1,0.84,0.41,0.194,28,106,134,8,14.801111111111112
3710,2,12,0,3,1,1,0.88,0.42,0.1343,15,134,149,8,14.801111111111112
3711,2,13,0,3,1,1,0.9,0.42,0.0,20,116,136,8,14.801111111111112
3771,2,1,0,6,0,1,0.7,0.79,0.0896,10,67,77,11,14.834722222222222
3801,2,7,0,0,0,1,0.64,0.78,0.1045,7,27,34,12,14.844166666666666
3835,2,17,0,1,1,1,0.7,0.39,0.3284,72,529,601,13,14.852777777777778
3872,2,6,0,3,1,1,0.5,0.63,0.2537,11,110,121,15,14.866944444444444
3892,2,2,0,4,1,1,0.6,0.56,0.0896,1,4,5,16,14.872777777777777
3908,2,18,0,4,1,1,0.64,0.83,0.2239,26,299,325,16,14.872777777777777
3919,2,5,0,5,1,1,0.54,1.0,0.0,1,12,13,17,14.8775
3921,2,7,0,5,1,1,0.6,0.83,0.0,25,225,250,17,14.8775
3989,2,3,0,1,1,3,0.64,0.89,0.0,1,0,1,20,14.886111111111111
4003,2,17,0,1,1,1,0.7,0.54,0.0,81,484,565,20,14.886111111111111
4032,3,22,0,2,1,1,0.7,0.79,0.1045,12,97,109,21,14.886944444444444
4048,3,14,0,3,1,2,0.82,0.52,0.2836,32,113,145,22,14.886944444444444
4052,3,18,0,3,1,2,0.8,0.59,0.2537,66,447,513,22,14.886944444444444
4062,3,4,0,4,1,2,0.7,0.79,0.1343,0,7,7,23,14.886111111111111
4070,3,12,0,4,1,2,0.76,0.66,0.2836,30,130,160,23,14.886111111111111
4078,3,20,0,4,1,1,0.7,0.74,0.2239,75,277,352,23,14.886111111111111
4080,3,22,0,4,1,2,0.7,0.74,0.2239,23,139,162,23,14.886111111111111
4082,3,0,0,5,1,1,0.68,0.79,0.194,10,53,63,24,14.884166666666667
4162,3,8,0,1,1,1,0.66,0.74,0.194,29,418,447,27,14.872777777777777
4240,3,14,0,4,1,1,0.78,0.31,0.194,46,117,163,30,14.853055555555555
4243,3,17,0,4,1,1,0.78,0.27,0.3582,98,496,594,30,14.853055555555555
4248,3,22,0,4,1,1,0.7,0.42,0.1642,43,164,207,30,14.853055555555555
4249,3,23,0,4,1,1,0.66,0.5,0.0,27,99,126,30,14.853055555555555
4263,3,13,0,5,1,1,0.8,0.24,0.0,83,209,292,1,14.844444444444445
4264,3,14,0,5,1,1,0.82,0.23,0.194,78,225,303,1,14.844444444444445
4288,3,14,0,6,0,1,0.84,0.2,0.0,177,215,392,2,14.835277777777778
4290,3,16,0,6,0,1,0.88,0.22,0.2239,206,192,398,2,14.835277777777778
4294,3,20,0,6,0,1,0.76,0.45,0.2836,136,148,284,2,14.835277777777778
4314,3,16,0,0,0,1,0.84,0.53,0.2985,195,219,414,3,14.825
4331,3,9,1,1,0,2,0.72,0.66,0.0896,142,96,238,4,14.813611111111111
4344,3,22,1,1,0,2,0.74,0.62,0.1343,115,211,326,4,14.813611111111111
4382,3,12,0,3,1,2,0.74,0.66,0.0896,38,114,152,6,14.788611111111111
4383,3,13,0,3,1,2,0.74,0.7,0.1045,33,107,140,6,14.788611111111111
4400,3,6,0,4,1,2,0.64,0.89,0.1343,11,107,118,7,14.774722222222222
4441,3,23,0,5,1,2,0.66,0.78,0.0896,40,111,151,8,14.760277777777778
4481,3,15,0,0,0,1,0.84,0.39,0.2836,142,219,361,10,14.728333333333333
4488,3,22,0,0,0,1,0.74,0.66,0.2239,56,87,143,10,14.728333333333333
4528,3,14,0,2,1,1,0.9,0.42,0.2985,33,91,124,12,14.693333333333333
4542,3,4,0,3,1,1,0.74,0.58,0.2537,0,5,5,13,14.674444444444445
4552,3,14,0,3,1,3,0.82,0.46,0.1343,27,89,116,13,14.674444444444445
4558,3,20,0,3,1,1,0.7,0.84,0.1642,61,281,342,13,14.674444444444445
4587,3,1,0,5,1,1,0.62,0.73,0.194,7,13,20,15,14.634722222222223
4634,3,0,0,0,0,1,0.66,0.65,0.2239,34,91,125,17,14.591666666666667
4652,3,18,0,0,0,1,0.8,0.46,0.2985,147,243,390,17,14.591666666666667
4733,3,3,0,4,1,2,0.74,0.79,0.1343,1,5,6,21,14.4975
4740,3,10,0,4,1,2,0.82,0.71,0.2239,31,47,78,21,14.4975
4753,3,23,0,4,1,1,0.8,0.71,0.1642,40,73,113,21,14.4975
4775,3,21,0,5,1,1,0.82,0.59,0.0896,38,152,190,22,14.4725
4815,3,13,0,0,0,1,0.86,0.47,0.2239,90,162,252,24,14.42
4816,3,14,0,0,0,1,0.86,0.5,0.2836,79,204,283,24,14.42
4825,3,23,0,0,0,2,0.76,0.7,0.0896,13,37,50,24,14.42
4839,3,13,0,1,1,2,0.74,0.74,0.1343,14,64,78,25,14.392777777777777
4847,3,21,0,1,1,1,0.7,0.84,0.0,41,153,194,25,14.392777777777777
4888,3,14,0,3,1,1,0.84,0.28,0.2239,20,107,127,27,14.336944444444445
4892,3,18,0,3,1,1,0.82,0.28,0.1045,78,463,541,27,14.336944444444445
4914,3,16,0,4,1,1,0.86,0.47,0.1642,42,214,256,28,14.308055555555555
4919,3,21,0,4,1,1,0.78,0.66,0.2836,31,165,196,28,14.308055555555555
4921,3,23,0,4,1,1,0.76,0.75,0.194,28,95,123,28,14.308055555555555
4926,3,4,0,5,1,1,0.72,0.84,0.1343,2,4,6,29,14.278611111111111
4935,3,13,0,5,1,1,0.94,0.31,0.0,42,114,156,29,14.278611111111111
4947,3,1,0,6,0,1,0.76,0.55,0.0896,15,75,90,30,14.248888888888889
4989,3,19,0,0,0,1,0.8,0.55,0.3284,87,187,274,31,14.218333333333334
5008,3,14,0,1,1,1,0.92,0.29,0.194,37,86,123,1,14.1875
5038,3,20,0,2,1,2,0.82,0.46,0.2537,40,248,288,2,14.15611111111111
5058,3,16,0,3,1,3,0.68,0.79,0.0,21,129,150,3,14.124166666666667
5066,3,0,0,4,1,2,0.68,0.89,0.0896,2,15,17,4,14.091666666666667
5088,3,22,0,4,1,1,0.68,0.74,0.194,33,141,174,4,14.091666666666667
5101,3,11,0,5,1,2,0.76,0.52,0.2537,44,103,147,5,14.05888888888889
5112,3,22,0,5,1,1,0.7,0.65,0.2239,51,137,188,5,14.05888888888889
5119,3,5,0,6,0,1,0.64,0.89,0.0896,2,4,6,6,14.025833333333333
5177,3,15,0,1,1,1,0.84,0.41,0.2985,40,86,126,8,13.958055555555555
5233,3,23,0,3,1,1,0.74,0.37,0.0896,14,94,108,10,13.88888888888889
5251,3,17,0,4,1,1,0.8,0.29,0.2537,96,486,582,11,13.85388888888889
5268,3,10,0,5,1,1,0.74,0.33,0.1045,44,86,130,12,13.818333333333333
5289,3,7,0,6,0,2,0.66,0.74,0.194,10,34,44,13,13.7825
5303,3,21,0,6,0,2,0.68,0.83,0.3881,40,127,167,13,13.7825
5337,3,7,0,1,1,1,0.6,0.88,0.2537,10,248,258,15,13.71
5397,3,19,0,3,1,1,0.76,0.55,0.2239,50,297,347,17,13.636111111111111
5420,3,18,0,4,1,3,0.76,0.55,0.2537,48,226,274,18,13.57638888888889
5422,3,20,0,4,1,1,0.66,0.83,0.1045,24,141,165,18,13.57638888888889
5430,3,4,0,5,1,1,0.64,0.83,0.0,1,7,8,19,13.538611111111111
5442,3,16,0,5,1,1,0.8,0.49,0.0,66,261,327,19,13.538611111111111
5483,3,9,0,0,0,1,0.72,0.74,0.2239,80,151,231,21,13.462222222222222
5514,3,16,0,1,1,1,0.74,0.3,0.3881,66,254,320,22,13.42361111111111
5546,3,0,0,3,1,1,0.62,0.57,0.1343,9,29,38,24,13.345833333333333
5553,3,7,0,3,1,1,0.6,0.64,0.0896,11,297,308,24,13.345833333333333
5560,3,14,0,3,1,1,0.76,0.48,0.4179,77,127,204,24,13.345833333333333
5584,3,14,0,4,1,2,0.72,0.74,0.0,27,86,113,25,13.306666666666667
5612,3,18,0,5,1,2,0.74,0.74,0.1343,40,370,410,26,13.267222222222221
5614,3,20,0,5,1,1,0.72,0.79,0.0896,39,183,222,26,13.267222222222221
5648,3,19,0,0,0,1,0.72,0.48,0.1045,140,247,387,28,13.188055555555556
5673,3,20,0,1,1,1,0.64,0.53,0.1642,50,227,277,29,13.148333333333333
5704,3,3,0,3,1,1,0.56,0.78,0.0,2,4,6,31,13.068055555555556
5712,3,11,0,3,1,1,0.72,0.42,0.1343,28,143,171,31,13.068055555555556
5727,3,2,0,4,1,1,0.58,0.78,0.0896,14,11,25,1,13.027777777777779
5747,3,22,0,4,1,2,0.66,0.57,0.2239,34,145,179,1,13.027777777777779
5760,3,11,0,5,1,2,0.66,0.74,0.1045,51,141,192,2,12.987222222222222
5792,3,19,0,6,0,1,0.7,0.74,0.1343,147,148,295,3,12.946666666666667
5825,3,4,1,1,0,2,0.68,0.69,0.2836,3,5,8,5,12.865277777777777
5868,3,0,0,3,1,2,0.54,0.94,0.2239,1,12,13,7,12.783333333333333
5871,3,3,0,3,1,3,0.56,0.94,0.1343,1,1,2,7,12.783333333333333
5873,3,5,0,3,1,2,0.56,1.0,0.1343,1,15,16,7,12.783333333333333
5875,3,7,0,3,1,3,0.6,0.88,0.0896,3,83,86,7,12.783333333333333
5889,3,21,0,3,1,3,0.64,0.89,0.0896,4,34,38,7,12.783333333333333
5909,3,18,0,4,1,3,0.64,0.94,0.3582,2,66,68,8,12.742222222222223
5915,3,0,0,5,1,3,0.64,0.94,0.194,1,15,16,9,12.700833333333334
5918,3,3,0,5,1,2,0.62,0.94,0.2537,1,1,2,9,12.700833333333334
5949,3,10,0,6,0,1,0.7,0.65,0.2537,85,233,318,10,12.659722222222221
